node_id	pr_value
663930	0.00017521603482573172
482708	9.418923202728331e-05
1034017	5.382892526900732e-05
663559	4.850683449334943e-05
357530	4.6801985401660864e-05
1120567	4.6442140390791826e-05
663605	4.254711602336101e-05
1108860	3.5604331928989774e-05
663682	3.5506628637624685e-05
664788	3.527383895463022e-05
